Date : 2026-05-23 21:15:10
Directory : /home/dev/TFG
Total : 211 files,  19758 codes, 1296 comments, 2566 blanks, all 23620 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript JSX     |        101 |     10,977 |        423 |      1,192 |     12,592 |
| TypeScript         |         50 |      3,451 |        658 |        518 |      4,627 |
| log                |          1 |      2,120 |          0 |        174 |      2,294 |
| LaTeX              |         13 |      1,150 |         82 |        274 |      1,506 |
| Markdown           |          5 |        598 |          0 |        223 |        821 |
| XML                |         13 |        397 |          6 |         16 |        419 |
| BibTeX             |          1 |        272 |          0 |         33 |        305 |
| PostCSS            |          1 |        217 |         10 |         28 |        255 |
| MS SQL             |          7 |        161 |         48 |         31 |        240 |
| JSON               |          2 |        138 |          0 |          2 |        140 |
| Groovy             |          6 |        122 |          7 |         28 |        157 |
| Batch              |          1 |         41 |         32 |         22 |         95 |
| JSON with Comments |          1 |         33 |          3 |          0 |         36 |
| JavaScript         |          3 |         32 |          1 |          1 |         34 |
| Java               |          3 |         27 |         11 |         14 |         52 |
| HTML               |          1 |         13 |          0 |          3 |         16 |
| Properties         |          2 |          9 |         15 |          7 |         31 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                               | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                  |        211 |     19,758 |      1,296 |      2,566 |     23,620 |
| . (Files)                                                                                          |         10 |        417 |          4 |         38 |        459 |
| Docs                                                                                               |         20 |      4,109 |         85 |        678 |      4,872 |
| Docs (Files)                                                                                       |         19 |      4,005 |         81 |        673 |      4,759 |
| Docs/settings                                                                                      |          1 |        104 |          4 |          5 |        113 |
| android                                                                                            |         22 |        495 |         68 |         84 |        647 |
| android (Files)                                                                                    |          6 |         99 |         51 |         44 |        194 |
| android/app                                                                                        |         15 |        389 |         17 |         39 |        445 |
| android/app (Files)                                                                                |          2 |         66 |          3 |         12 |         81 |
| android/app/src                                                                                    |         13 |        323 |         14 |         27 |        364 |
| android/app/src/androidTest                                                                        |          1 |         15 |          6 |          6 |         27 |
| android/app/src/androidTest/java                                                                   |          1 |         15 |          6 |          6 |         27 |
| android/app/src/androidTest/java/com                                                               |          1 |         15 |          6 |          6 |         27 |
| android/app/src/androidTest/java/com/getcapacitor                                                  |          1 |         15 |          6 |          6 |         27 |
| android/app/src/androidTest/java/com/getcapacitor/myapp                                            |          1 |         15 |          6 |          6 |         27 |
| android/app/src/main                                                                               |         11 |        299 |          3 |         16 |        318 |
| android/app/src/main (Files)                                                                       |          1 |         31 |          1 |          4 |         36 |
| android/app/src/main/java                                                                          |          1 |          3 |          0 |          3 |          6 |
| android/app/src/main/java/com                                                                      |          1 |          3 |          0 |          3 |          6 |
| android/app/src/main/java/com/parky                                                                |          1 |          3 |          0 |          3 |          6 |
| android/app/src/main/java/com/parky/app                                                            |          1 |          3 |          0 |          3 |          6 |
| android/app/src/main/res                                                                           |          9 |        265 |          2 |          9 |        276 |
| android/app/src/main/res/drawable                                                                  |          1 |        170 |          0 |          1 |        171 |
| android/app/src/main/res/drawable-v24                                                              |          1 |         34 |          0 |          1 |         35 |
| android/app/src/main/res/layout                                                                    |          1 |         11 |          0 |          2 |         13 |
| android/app/src/main/res/mipmap-anydpi-v26                                                         |          2 |         18 |          0 |          0 |         18 |
| android/app/src/main/res/values                                                                    |          3 |         27 |          2 |          5 |         34 |
| android/app/src/main/res/xml                                                                       |          1 |          5 |          0 |          0 |          5 |
| android/app/src/test                                                                               |          1 |          9 |          5 |          5 |         19 |
| android/app/src/test/java                                                                          |          1 |          9 |          5 |          5 |         19 |
| android/app/src/test/java/com                                                                      |          1 |          9 |          5 |          5 |         19 |
| android/app/src/test/java/com/getcapacitor                                                         |          1 |          9 |          5 |          5 |         19 |
| android/app/src/test/java/com/getcapacitor/myapp                                                   |          1 |          9 |          5 |          5 |         19 |
| android/gradle                                                                                     |          1 |          7 |          0 |          1 |          8 |
| android/gradle/wrapper                                                                             |          1 |          7 |          0 |          1 |          8 |
| public                                                                                             |          2 |         18 |          0 |          2 |         20 |
| src                                                                                                |        157 |     14,719 |      1,139 |      1,764 |     17,622 |
| src (Files)                                                                                        |          2 |         69 |          1 |          9 |         79 |
| src/core                                                                                           |          1 |         47 |          3 |          6 |         56 |
| src/core/router                                                                                    |          1 |         47 |          3 |          6 |         56 |
| src/features                                                                                       |         76 |      8,780 |        560 |      1,067 |     10,407 |
| src/features/auth                                                                                  |          5 |        627 |        170 |        125 |        922 |
| src/features/auth (Files)                                                                          |          1 |         23 |          7 |          5 |         35 |
| src/features/auth/components                                                                       |          1 |         58 |          3 |         10 |         71 |
| src/features/auth/context                                                                          |          1 |        207 |         71 |         43 |        321 |
| src/features/auth/services                                                                         |          1 |        289 |         80 |         56 |        425 |
| src/features/auth/types                                                                            |          1 |         50 |          9 |         11 |         70 |
| src/features/booking                                                                               |         16 |      1,403 |         92 |        190 |      1,685 |
| src/features/booking (Files)                                                                       |          1 |          4 |          0 |          1 |          5 |
| src/features/booking/components                                                                    |          7 |        837 |         14 |         94 |        945 |
| src/features/booking/hooks                                                                         |          2 |        183 |          6 |         26 |        215 |
| src/features/booking/services                                                                      |          5 |        338 |         69 |         63 |        470 |
| src/features/booking/types                                                                         |          1 |         41 |          3 |          6 |         50 |
| src/features/parking                                                                               |         27 |      3,246 |        156 |        367 |      3,769 |
| src/features/parking (Files)                                                                       |          1 |         14 |          8 |          6 |         28 |
| src/features/parking/components                                                                    |         16 |      2,379 |         59 |        225 |      2,663 |
| src/features/parking/components (Files)                                                            |          9 |      1,584 |         40 |        140 |      1,764 |
| src/features/parking/components/detail                                                             |          7 |        795 |         19 |         85 |        899 |
| src/features/parking/context                                                                       |          1 |        103 |          1 |         16 |        120 |
| src/features/parking/hooks                                                                         |          3 |         38 |          0 |          6 |         44 |
| src/features/parking/services                                                                      |          2 |        504 |         77 |         79 |        660 |
| src/features/parking/types                                                                         |          1 |         86 |          3 |          7 |         96 |
| src/features/parking/utils                                                                         |          3 |        122 |          8 |         28 |        158 |
| src/features/profile                                                                               |         28 |      3,504 |        142 |        385 |      4,031 |
| src/features/profile (Files)                                                                       |          1 |          2 |          4 |          2 |          8 |
| src/features/profile/components                                                                    |         21 |      3,106 |         91 |        307 |      3,504 |
| src/features/profile/components (Files)                                                            |          4 |        565 |         28 |         76 |        669 |
| src/features/profile/components/owner                                                              |         11 |      1,792 |         46 |        166 |      2,004 |
| src/features/profile/components/shared                                                             |          1 |         82 |          2 |          7 |         91 |
| src/features/profile/components/user                                                               |          5 |        667 |         15 |         58 |        740 |
| src/features/profile/hooks                                                                         |          2 |        105 |          2 |         16 |        123 |
| src/features/profile/services                                                                      |          4 |        291 |         45 |         60 |        396 |
