Date : 2026-05-23 21:15:30
Directory : /home/dev/TFG/src
Total : 157 files,  14719 codes, 1139 comments, 1764 blanks, all 17622 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| TypeScript JSX |        101 |     10,977 |        423 |      1,192 |     12,592 |
| TypeScript     |         48 |      3,364 |        658 |        513 |      4,535 |
| PostCSS        |          1 |        217 |         10 |         28 |        255 |
| MS SQL         |          7 |        161 |         48 |         31 |        240 |
+----------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                            | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                               |        157 |     14,719 |      1,139 |      1,764 |     17,622 |
| . (Files)                                                                       |          2 |         69 |          1 |          9 |         79 |
| core                                                                            |          1 |         47 |          3 |          6 |         56 |
| core/router                                                                     |          1 |         47 |          3 |          6 |         56 |
| features                                                                        |         76 |      8,780 |        560 |      1,067 |     10,407 |
| features/auth                                                                   |          5 |        627 |        170 |        125 |        922 |
| features/auth (Files)                                                           |          1 |         23 |          7 |          5 |         35 |
| features/auth/components                                                        |          1 |         58 |          3 |         10 |         71 |
| features/auth/context                                                           |          1 |        207 |         71 |         43 |        321 |
| features/auth/services                                                          |          1 |        289 |         80 |         56 |        425 |
| features/auth/types                                                             |          1 |         50 |          9 |         11 |         70 |
| features/booking                                                                |         16 |      1,403 |         92 |        190 |      1,685 |
| features/booking (Files)                                                        |          1 |          4 |          0 |          1 |          5 |
| features/booking/components                                                     |          7 |        837 |         14 |         94 |        945 |
| features/booking/hooks                                                          |          2 |        183 |          6 |         26 |        215 |
| features/booking/services                                                       |          5 |        338 |         69 |         63 |        470 |
| features/booking/types                                                          |          1 |         41 |          3 |          6 |         50 |
| features/parking                                                                |         27 |      3,246 |        156 |        367 |      3,769 |
| features/parking (Files)                                                        |          1 |         14 |          8 |          6 |         28 |
| features/parking/components                                                     |         16 |      2,379 |         59 |        225 |      2,663 |
| features/parking/components (Files)                                             |          9 |      1,584 |         40 |        140 |      1,764 |
| features/parking/components/detail                                              |          7 |        795 |         19 |         85 |        899 |
| features/parking/context                                                        |          1 |        103 |          1 |         16 |        120 |
| features/parking/hooks                                                          |          3 |         38 |          0 |          6 |         44 |
| features/parking/services                                                       |          2 |        504 |         77 |         79 |        660 |
| features/parking/types                                                          |          1 |         86 |          3 |          7 |         96 |
| features/parking/utils                                                          |          3 |        122 |          8 |         28 |        158 |
| features/profile                                                                |         28 |      3,504 |        142 |        385 |      4,031 |
| features/profile (Files)                                                        |          1 |          2 |          4 |          2 |          8 |
| features/profile/components                                                     |         21 |      3,106 |         91 |        307 |      3,504 |
| features/profile/components (Files)                                             |          4 |        565 |         28 |         76 |        669 |
| features/profile/components/owner                                               |         11 |      1,792 |         46 |        166 |      2,004 |
| features/profile/components/shared                                              |          1 |         82 |          2 |          7 |         91 |
| features/profile/components/user                                                |          5 |        667 |         15 |         58 |        740 |
| features/profile/hooks                                                          |          2 |        105 |          2 |         16 |        123 |
| features/profile/services                                                       |          4 |        291 |         45 |         60 |        396 |
| mobile                                                                          |          8 |        163 |        293 |         58 |        514 |
| mobile (Files)                                                                  |          7 |        122 |        278 |         51 |        451 |
| mobile/components                                                               |          1 |         41 |         15 |          7 |         63 |
| pages                                                                           |         11 |      1,376 |         71 |        144 |      1,591 |
| pages (Files)                                                                   |          1 |          9 |          5 |          5 |         19 |
| pages/auth                                                                      |          3 |        505 |         20 |         60 |        585 |
| pages/booking                                                                   |          1 |          4 |          0 |          2 |          6 |
| pages/errors                                                                    |          1 |         82 |         10 |          8 |        100 |
| pages/home                                                                      |          1 |        760 |         36 |         61 |        857 |
| pages/parking                                                                   |          2 |          8 |          0 |          4 |         12 |
| pages/profile                                                                   |          2 |          8 |          0 |          4 |         12 |
| shared                                                                          |         29 |      1,635 |        162 |        225 |      2,022 |
| shared/components                                                               |         14 |      1,076 |         63 |        119 |      1,258 |
| shared/components (Files)                                                       |          2 |         80 |          0 |         11 |         91 |
| shared/components/auth                                                          |          2 |         37 |         13 |         13 |         63 |
| shared/components/calendar                                                      |          1 |        260 |         16 |         34 |        310 |
| shared/components/layout                                                        |          3 |        277 |          4 |         21 |        302 |
| shared/components/loaders                                                       |          5 |        323 |         29 |         28 |        380 |
| shared/components/map                                                           |          1 |         99 |          1 |         12 |        112 |
| shared/hooks                                                                    |          1 |         15 |          0 |          5 |         20 |
| shared/lib                                                                      |         12 |        258 |         84 |         57 |        399 |
| shared/lib (Files)                                                              |          5 |         97 |         36 |         26 |        159 |
| shared/lib/sql                                                                  |          7 |        161 |         48 |         31 |        240 |
| shared/services                                                                 |          1 |         70 |          0 |          9 |         79 |
| shared/types                                                                    |          1 |        216 |         15 |         35 |        266 |
| styles                                                                          |          1 |        217 |         10 |         28 |        255 |
| types                                                                           |          1 |        696 |          0 |          8 |        704 |
| ui                                                                              |         28 |      1,736 |         39 |        219 |      1,994 |
+---------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                        | language       | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| /home/dev/TFG/src/App.tsx                                                       | TypeScript JSX |         59 |          0 |          7 |         66 |
| /home/dev/TFG/src/core/router/routes.tsx                                        | TypeScript JSX |         47 |          3 |          6 |         56 |
| /home/dev/TFG/src/features/auth/components/AuthCallback.tsx                     | TypeScript JSX |         58 |          3 |         10 |         71 |
| /home/dev/TFG/src/features/auth/context/AuthContext.tsx                         | TypeScript JSX |        207 |         71 |         43 |        321 |
| /home/dev/TFG/src/features/auth/index.ts                                        | TypeScript     |         23 |          7 |          5 |         35 |
| /home/dev/TFG/src/features/auth/services/auth.service.ts                        | TypeScript     |        289 |         80 |         56 |        425 |
| /home/dev/TFG/src/features/auth/types/auth.types.ts                             | TypeScript     |         50 |          9 |         11 |         70 |
| /home/dev/TFG/src/features/booking/components/BookingDetailsForm.tsx            | TypeScript JSX |        166 |          1 |         18 |        185 |
| /home/dev/TFG/src/features/booking/components/BookingProcess.tsx                | TypeScript JSX |        126 |          5 |         14 |        145 |
| /home/dev/TFG/src/features/booking/components/BookingStepper.tsx                | TypeScript JSX |         54 |          1 |          6 |         61 |
| /home/dev/TFG/src/features/booking/components/BookingSuccess.tsx                | TypeScript JSX |        112 |          0 |          8 |        120 |
| /home/dev/TFG/src/features/booking/components/BookingSummary.tsx                | TypeScript JSX |        106 |          0 |         10 |        116 |
| /home/dev/TFG/src/features/booking/components/PaymentDetails.tsx                | TypeScript JSX |         82 |          0 |         10 |         92 |
| /home/dev/TFG/src/features/booking/components/SmartAccessModal.tsx              | TypeScript JSX |        191 |          7 |         28 |        226 |
